name,dependent_repos_count,dependent_packages_count,amp,github_owner,maintainers_count,namespace,repository_url,homepage
@aws-sdk/credential-provider-imds,71349,8,7927.7,aws,5,aws-sdk,https://github.com/aws/aws-sdk-js-v3,https://github.com/aws/aws-sdk-js-v3/tree/main/packages/credential-provider-imds
@aws-sdk/credential-provider-env,71339,20,3397.1,aws,5,aws-sdk,https://github.com/aws/aws-sdk-js-v3,https://github.com/aws/aws-sdk-js-v3/tree/main/packages-internal/credential-provider-env
@aws-sdk/credential-provider-ini,71337,63,1114.6,aws,2,aws-sdk,https://github.com/aws/aws-sdk-js-v3,https://github.com/aws/aws-sdk-js-v3/tree/main/packages-internal/credential-provider-ini
@aws-sdk/credential-provider-process,71314,7,8914.3,aws,5,aws-sdk,https://github.com/aws/aws-sdk-js-v3,https://github.com/aws/aws-sdk-js-v3/tree/main/packages-internal/credential-provider-process
@pieh/friendly-errors-webpack-plugin,71298,13,5092.7,pieh,1,pieh,https://github.com/pieh/friendly-errors-webpack-plugin,https://github.com/pieh/friendly-errors-webpack-plugin#readme
strtok3,70737,56,1241.0,Borewit,1,,https://github.com/Borewit/strtok3,https://github.com/Borewit/strtok3#readme
token-types,70723,52,1334.4,Borewit,1,,https://github.com/Borewit/token-types,https://github.com/Borewit/token-types#readme
ctype,70602,34,2017.2,TritonDataCenter,4,,https://github.com/rmustacc/node-ctype,https://github.com/rmustacc/node-ctype
@gulp-sourcemaps/map-sources,70520,7,8815.0,gulp-sourcemaps,3,gulp-sourcemaps,https://github.com/gulp-sourcemaps/map-sources,https://github.com/gulp-sourcemaps/map-sources#readme
peek-readable,70401,35,1955.6,Borewit,1,,https://github.com/Borewit/peek-readable,https://github.com/Borewit/peek-readable#readme
atob-lite,70274,43,1597.1,hughsk,1,,https://github.com/hughsk/atob-lite,https://github.com/hughsk/atob-lite
lodash._isnative,70152,22,3050.1,lodash-archive,2,,https://github.com/lodash/lodash-cli,http://lodash.com/custom-builds
grunt-known-options,70143,27,2505.1,gruntjs,3,,https://github.com/gruntjs/grunt-known-options,http://gruntjs.com/
lodash._createset,69980,13,4998.6,lodash,2,,https://github.com/lodash/lodash,https://lodash.com/
hash-stream-validation,69775,10,6343.2,stephenplusplus,1,,https://github.com/stephenplusplus/hash-stream-validation,https://github.com/stephenplusplus/hash-stream-validation#readme
use-latest,69764,46,1484.3,Andarist,1,,https://github.com/Andarist/use-latest,https://github.com/Andarist/use-latest#readme
cache-manager-fs-hash,69723,39,1743.1,rolandstarke,1,,https://github.com/rolandstarke/node-cache-manager-fs-hash,https://github.com/rolandstarke/node-cache-manager-fs-hash#readme
unist-util-visit-children,69672,22,3029.2,syntax-tree,2,,https://github.com/syntax-tree/unist-util-visit-children,https://github.com/syntax-tree/unist-util-visit-children#readme
redis-errors,69666,45,1514.5,NodeRedis,2,,https://github.com/NodeRedis/redis-errors,https://github.com/NodeRedis/redis-errors#readme
parse-latin,69540,22,3023.5,wooorm,1,,https://github.com/wooorm/parse-latin,https://github.com/wooorm/parse-latin#readme
@tokenizer/token,69519,19,3476.0,Borewit,1,tokenizer,https://github.com/Borewit/tokenizer-token,https://github.com/Borewit/tokenizer-token#readme
@stylelint/postcss-markdown,69439,4,13887.8,stylelint,3,stylelint,https://github.com/stylelint/postcss-markdown,https://github.com/stylelint/postcss-markdown#readme
web3-eth-ens,69290,65,1049.8,web3,2,,https://github.com/ChainSafe/web3.js,https://github.com/ChainSafe/web3.js#readme
chain-function,69043,30,2227.2,jquense,1,,https://github.com/jquense/chain-function,https://github.com/jquense/chain-function#readme
nanoclone,68870,22,2994.3,Kelin2025,1,,https://github.com/kelin2025/nanoclone,https://github.com/kelin2025/nanoclone#readme
postcss-import-resolver,68452,60,1122.2,nuxt-contrib,1,,https://github.com/clarkdo/postcss-import-resolver,https://github.com/clarkdo/postcss-import-resolver#readme
win-release,68420,14,4561.3,sindresorhus,1,,https://github.com/sindresorhus/win-release,https://github.com/sindresorhus/win-release#readme
@commitlint/rules,68394,14,4559.6,conventional-changelog,4,commitlint,https://github.com/conventional-changelog/commitlint,https://commitlint.js.org/
@commitlint/parse,68326,32,2070.5,conventional-changelog,4,commitlint,https://github.com/conventional-changelog/commitlint,https://commitlint.js.org/
uri-path,68313,33,2009.2,UltCombo,1,,https://github.com/UltCombo/uri-path,https://github.com/UltCombo/uri-path
@commitlint/ensure,68307,14,4553.8,conventional-changelog,4,commitlint,https://github.com/conventional-changelog/commitlint,https://commitlint.js.org/
@commitlint/is-ignored,68296,20,3252.2,conventional-changelog,4,commitlint,https://github.com/conventional-changelog/commitlint,https://commitlint.js.org/
@commitlint/message,68292,16,4017.2,conventional-changelog,4,commitlint,https://github.com/conventional-changelog/commitlint,https://commitlint.js.org/
@commitlint/to-lines,68289,3,17072.3,conventional-changelog,4,commitlint,https://github.com/conventional-changelog/commitlint,https://commitlint.js.org/
@cypress/request,68098,29,2269.9,cypress-io,1,cypress,https://github.com/cypress-io/request,https://github.com/cypress-io/request#readme
